Country,Year,Subtype,Observed
Turkey,2014,H1,0
Turkey,2014,H1p09,30
Turkey,2014,H3,1039
Turkey,2014,A,1069
Turkey,2015,H1,0
Turkey,2015,H1p09,954
Turkey,2015,H3,237
Turkey,2015,A,1191
Iraq,1997,H1,0
Iraq,1997,H1p09,0
Iraq,1997,H3,0
Iraq,1997,A,0
Iraq,1998,H1,0
Iraq,1998,H1p09,0
Iraq,1998,H3,0
Iraq,1998,A,0
Iraq,1999,H1,0
Iraq,1999,H1p09,0
Iraq,1999,H3,0
Iraq,1999,A,0
Iraq,2000,H1,0
Iraq,2000,H1p09,0
Iraq,2000,H3,0
Iraq,2000,A,0
Iraq,2001,H1,0
Iraq,2001,H1p09,0
Iraq,2001,H3,0
Iraq,2001,A,0
Iraq,2002,H1,0
Iraq,2002,H1p09,0
Iraq,2002,H3,0
Iraq,2002,A,0
Iraq,2003,H1,0
Iraq,2003,H1p09,0
Iraq,2003,H3,0
Iraq,2003,A,0
Iraq,2004,H1,0
Iraq,2004,H1p09,0
Iraq,2004,H3,0
Iraq,2004,A,0
Iraq,2005,H1,0
Iraq,2005,H1p09,0
Iraq,2005,H3,0
Iraq,2005,A,0
Iraq,2006,H1,0
Iraq,2006,H1p09,0
Iraq,2006,H3,0
Iraq,2006,A,0
Iraq,2007,H1,0
Iraq,2007,H1p09,0
Iraq,2007,H3,0
Iraq,2007,A,0
Iraq,2008,H1,0
Iraq,2008,H1p09,0
Iraq,2008,H3,0
Iraq,2008,A,0
Iraq,2009,H1,0
Iraq,2009,H1p09,1696
Iraq,2009,H3,0
Iraq,2009,A,1696
Iraq,2010,H1,0
Iraq,2010,H1p09,9
Iraq,2010,H3,0
Iraq,2010,A,9
Iraq,2011,H1,0
Iraq,2011,H1p09,170
Iraq,2011,H3,3
Iraq,2011,A,173
Iraq,2012,H1,0
Iraq,2012,H1p09,0
Iraq,2012,H3,4
Iraq,2012,A,4
Iraq,2013,H1,0
Iraq,2013,H1p09,801
Iraq,2013,H3,5
Iraq,2013,A,806
Iraq,2014,H1,0
Iraq,2014,H1p09,3
Iraq,2014,H3,1
Iraq,2014,A,4
Iraq,2015,H1,0
Iraq,2015,H1p09,149
Iraq,2015,H3,31
Iraq,2015,A,180
Nigeria,1997,H1,0
Nigeria,1997,H1p09,0
Nigeria,1997,H3,0
Nigeria,1997,A,0
Nigeria,1998,H1,0
Nigeria,1998,H1p09,0
Nigeria,1998,H3,0
Nigeria,1998,A,0
Nigeria,1999,H1,0
Nigeria,1999,H1p09,0
Nigeria,1999,H3,0
Nigeria,1999,A,0
Nigeria,2000,H1,0
Nigeria,2000,H1p09,0
Nigeria,2000,H3,0
Nigeria,2000,A,0
Nigeria,2001,H1,0
Nigeria,2001,H1p09,0
Nigeria,2001,H3,0
Nigeria,2001,A,0
Nigeria,2002,H1,0
Nigeria,2002,H1p09,0
Nigeria,2002,H3,0
Nigeria,2002,A,0
Nigeria,2003,H1,0
Nigeria,2003,H1p09,0
Nigeria,2003,H3,0
Nigeria,2003,A,0
Nigeria,2004,H1,0
Nigeria,2004,H1p09,0
Nigeria,2004,H3,0
Nigeria,2004,A,0
Nigeria,2005,H1,0
Nigeria,2005,H1p09,0
Nigeria,2005,H3,0
Nigeria,2005,A,0
Nigeria,2006,H1,0
Nigeria,2006,H1p09,0
Nigeria,2006,H3,0
Nigeria,2006,A,0
Nigeria,2007,H1,0
Nigeria,2007,H1p09,0
Nigeria,2007,H3,0
Nigeria,2007,A,0
Nigeria,2008,H1,0
Nigeria,2008,H1p09,0
Nigeria,2008,H3,0
Nigeria,2008,A,0
Nigeria,2009,H1,0
Nigeria,2009,H1p09,0
Nigeria,2009,H3,0
Nigeria,2009,A,0
Nigeria,2010,H1,12
Nigeria,2010,H1p09,67
Nigeria,2010,H3,17
Nigeria,2010,A,96
Nigeria,2011,H1,0
Nigeria,2011,H1p09,50
Nigeria,2011,H3,77
Nigeria,2011,A,127
Nigeria,2012,H1,0
Nigeria,2012,H1p09,34
Nigeria,2012,H3,66
Nigeria,2012,A,100
Nigeria,2013,H1,0
Nigeria,2013,H1p09,25
Nigeria,2013,H3,11
Nigeria,2013,A,36
Nigeria,2014,H1,0
Nigeria,2014,H1p09,24
Nigeria,2014,H3,23
Nigeria,2014,A,47
Nigeria,2015,H1,0
Nigeria,2015,H1p09,36
Nigeria,2015,H3,13
Nigeria,2015,A,49
Pakistan,1997,H1,0
Pakistan,1997,H1p09,0
Pakistan,1997,H3,0
Pakistan,1997,A,0
Pakistan,1998,H1,0
Pakistan,1998,H1p09,0
Pakistan,1998,H3,0
Pakistan,1998,A,0
Pakistan,1999,H1,0
Pakistan,1999,H1p09,0
Pakistan,1999,H3,0
Pakistan,1999,A,0
Pakistan,2000,H1,0
Pakistan,2000,H1p09,0
Pakistan,2000,H3,0
Pakistan,2000,A,0
Pakistan,2001,H1,0
Pakistan,2001,H1p09,0
Pakistan,2001,H3,0
Pakistan,2001,A,0
Pakistan,2002,H1,0
Pakistan,2002,H1p09,0
Pakistan,2002,H3,0
Pakistan,2002,A,0
Pakistan,2003,H1,0
Pakistan,2003,H1p09,0
Pakistan,2003,H3,0
Pakistan,2003,A,0
Pakistan,2004,H1,0
Pakistan,2004,H1p09,0
Pakistan,2004,H3,0
Pakistan,2004,A,0
Pakistan,2005,H1,0
Pakistan,2005,H1p09,0
Pakistan,2005,H3,0
Pakistan,2005,A,0
Pakistan,2006,H1,0
Pakistan,2006,H1p09,0
Pakistan,2006,H3,0
Pakistan,2006,A,0
Pakistan,2007,H1,0
Pakistan,2007,H1p09,0
Pakistan,2007,H3,0
Pakistan,2007,A,0
Pakistan,2008,H1,6
Pakistan,2008,H1p09,0
Pakistan,2008,H3,22
Pakistan,2008,A,28
Pakistan,2009,H1,18
Pakistan,2009,H1p09,173
Pakistan,2009,H3,72
Pakistan,2009,A,263
Pakistan,2010,H1,1
Pakistan,2010,H1p09,155
Pakistan,2010,H3,5
Pakistan,2010,A,161
Pakistan,2011,H1,0
Pakistan,2011,H1p09,474
Pakistan,2011,H3,38
Pakistan,2011,A,512
Pakistan,2012,H1,0
Pakistan,2012,H1p09,18
Pakistan,2012,H3,150
Pakistan,2012,A,168
Pakistan,2013,H1,0
Pakistan,2013,H1p09,28
Pakistan,2013,H3,20
Pakistan,2013,A,48
Pakistan,2014,H1,0
Pakistan,2014,H1p09,83
Pakistan,2014,H3,47
Pakistan,2014,A,130
Pakistan,2015,H1,1
